"date","samples","bases sequenced (MB)"
"2019-10-13","8",4648.389999999999
"2019-10-16","8",4951.099999999999
"2019-10-16","12",175223.31
"2019-10-17","8",5164.48
"2019-10-17","8",5356.459999999999
"2019-10-18","38",54908.579999999994
"2019-10-21","12",177200.48
"2019-10-24","8",4207.11
"2019-10-25","37",56914.700000000004
"2019-10-28","12",185514.28
"2019-10-28","38",55317.6
"2019-10-30","36",57346.099999999984
"2019-10-31","24",278923.49000000005
"2019-11-06","8",4543.99
"2019-11-06","8",4851.13
"2019-11-07","12",177471.09
"2019-11-08","37",57563.409999999996
"2019-11-11","12",152697.25999999998
"2019-11-13","11",176597.11000000002
"2019-11-15","24",434689.06000000006
"2019-11-15","8",4900.599999999999
"2019-11-15","38",54044.770000000004
"2019-11-20","8",4949.0199999999995
"2019-11-21","8",4702.85
"2019-11-22","12",152198.64
"2019-11-22","37",51301.189999999995
"2019-11-27","8",4689.570000000001
"2019-11-27","12",185584.73
"2019-11-29","24",437740.7299999999
"2019-11-29","38",44025.479999999996
"2019-12-05","8",4798.88
"2019-12-09","12",174892.66
"2019-12-10","12",184811.62
"2019-12-12","38",56766.23999999998
"2019-12-13","24",431421.1999999999
"2019-12-13","35",143351.65
"2019-12-16","8",4762.93
"2019-12-19","24",433352.5300000001
"2019-12-19","26",142132.79
"2020-01-02","8",4874.67
"2020-01-07","8",4634.18
"2020-01-13","44",52240.630000000005
"2020-01-14","12",159708.01
"2020-01-15","8",5018.15
"2020-01-15","12",163156.57
"2020-01-15","8",5116.289999999999
"2020-01-16","33",54124.35000000001
"2020-01-20","11",155848.66999999998
"2020-01-20","11",160702.29
"2020-01-21","10",165774.00999999998
"2020-01-22","10",162615.59000000005
"2020-01-23","10",154439.13
"2020-01-24","33",51324.16999999999
"2020-01-27","8",4864.28
"2020-01-31","16",420514.71
"2020-01-31","14",177669.97000000003
"2020-01-31","33",78740.66
"2020-02-03","8",5013.259999999999
"2020-02-05","12",143528.51
"2020-02-07","8",5449.99
"2020-02-07","8",5336.56
"2020-02-07","30",48753.57
"2020-02-14","36",583908.49
"2020-02-14","36",49209.240000000005
"2020-02-17","8",4904.79
"2020-02-18","8",5159.48
"2020-02-21","12",281840
"2020-02-21","30",151689.18
"2020-02-24","8",4919.13
"2020-02-24","36",541491.4700000001
"2020-02-28","35",591401.8699999999
"2020-02-28","8",5289.87
"2020-02-28","33",149012.89000000004
"2020-02-28","23",433516.85
"2020-03-06","31",150453.77000000005
"2020-03-06","24",445527.24
"2020-03-09","36",525074.46
"2020-03-13","24",384039.82
"2020-03-13","32",143780.32999999996
"2020-03-19","8",2746.73
"2020-03-20","8",5144.239999999999
"2020-03-20","24",414177.79
"2020-03-20","38",132007.14
"2020-03-24","8",5052.04
"2020-03-27","40",126563.45999999999
"2020-03-27","23",366809.86999999994
"2020-04-02","8",4405.58
"2020-04-03","31",138690.63999999998
"2020-04-03","24",400092.26
"2020-04-06","8",5061.04
"2020-04-09","17",126573.78
"2020-04-09","24",349531.59
"2020-04-17","25",429195.3599999999
"2020-04-17","21",141937.22
"2020-04-20","8",4630.09
"2020-04-24","24",426940.92
"2020-04-24","29",140645.49999999997
"2020-04-30","23",419953.31999999995
"2020-04-30","10",145075.58999999997
"2020-04-30","8",4226.650000000001
"2020-05-04","8",4848.35
"2020-05-08","24",417234.29
"2020-05-08","20",143281.65
"2020-05-11","8",4875.7300000000005
"2020-05-15","24",413852.83999999997
"2020-05-15","21",139818.75
"2020-05-20","8",4185.05
"2020-05-22","24",427238.47000000003
"2020-05-22","32",136587.93000000002
"2020-05-27","8",4477.150000000001
"2020-05-29","40",142733.55999999997
"2020-05-29","24",424595.5999999999
"2020-06-03","8",4072.7699999999995
"2020-06-05","24",410082.3400000001
"2020-06-05","23",136413.34000000003
"2020-06-10","8",4463.61
"2020-06-12","22",136994.91999999998
"2020-06-12","24",434354.69999999995
"2020-06-19","32",529252.4099999999
"2020-06-19","32",144455.14000000004
"2020-06-19","24",420764.64999999997
"2020-06-26","31",144953.57000000004
"2020-06-26","24",415944.29999999993
"2020-06-29","8",4731.91
"2020-07-02","1",144131.12
"2020-07-03","32",141589.71000000002
"2020-07-03","23",425194.36999999994
"2020-07-03","29",540080.0700000001
"2020-07-06","8",4656.36
"2020-07-10","22",438042.49000000005
"2020-07-10","52",141707.68
"2020-07-13","16",44645.880000000005
"2020-07-13","8",4103.34
"2020-07-17","25",142537.72
"2020-07-17","24",427447.05999999994
"2020-07-20","8",4756.749999999999
"2020-07-20","8",4896.200000000001
"2020-07-24","37",137281.33000000002
"2020-07-24","24",412550.02
"2020-07-24","32",568814.69
"2020-07-27","8",4413.15
"2020-07-31","8",4039.91
"2020-07-31","25",146694.44999999998
"2020-07-31","22",426137.44999999995
"2020-08-07","25",141353.02
"2020-08-07","20",389230.83999999997
"2020-08-10","8",4600.13
"2020-08-10","8",4619.089999999999
"2020-08-14","27",132583.55
"2020-08-14","8",4309.839999999999
"2020-08-14","8",4587.13
"2020-08-14","24",414273.31
"2020-08-21","31",139102.29
"2020-08-21","24",419583.15
"2020-08-25","8",4852.54
"2020-08-28","24",422244.62
"2020-08-28","19",132787.06
"2020-08-31","8",4193.299999999999
"2020-09-04","24",420119.76
"2020-09-04","37",140012.15
"2020-09-07","8",5017.96
"2020-09-11","24",410752.47000000003
"2020-09-11","34",138464.11999999997
"2020-09-14","8",4485.76
"2020-09-18","19",54021.28999999999
"2020-09-18","24",418437.55
"2020-09-18","24",139740.83000000002
"2020-09-25","22",392980.10000000003
"2020-09-25","29",136937.15000000002
"2020-10-02","24",427871.70999999996
"2020-10-02","31",142472.35
"2020-10-02","32",572389.2299999999
"2020-10-09","24",426389.4700000001
"2020-10-09","35",140352.94
"2020-10-09","20",47935.76
"2020-10-16","40",140041.46999999997
"2020-10-16","24",412375.76
"2020-10-20","18",50861.65
"2020-10-23","40",133698.69
"2020-10-23","24",390770.85
"2020-10-23","17",33908.03999999999
"2020-10-28","18",50995.14
"2020-10-30","24",403463.15
"2020-10-30","40",137707.21000000002
"2020-11-05","20",47077.69000000001
"2020-11-06","24",400409.8
"2020-11-06","40",138477.93
"2020-11-13","24",417396.65
"2020-11-13","20",51168.33
"2020-11-13","40",137427.27
"2020-11-20","40",139713.35
"2020-11-20","24",412414.44
"2020-11-20","18",56351.52000000001
"2020-11-26","19",52710.650000000016
"2020-11-27","16",266553.08
"2020-11-27","77",269968.93000000005
"2020-11-30","32",553592.2899999999
"2020-12-01","17",53235.759999999995
"2020-12-03","19",56228.45
"2020-12-04","39",115253.12999999998
"2020-12-04","24",414664.18
"2020-12-11","39",134697.37999999998
"2020-12-11","24",394086.22
"2020-12-11","20",53189.240000000005
"2020-12-14","20",55307.880000000005
"2020-12-18","24",403363.88000000006
"2020-12-18","42",131090.96000000002
"2020-12-21","20",50249.75
"2020-12-23","20",53844.780000000006
"2020-12-30","24",72383.47
"2020-12-30","35",13175.98
"2021-01-07","19",54301.170000000006
"2021-01-08","22",132150.43000000002
"2021-01-08","24",407742.95
"2021-01-14","20",52352.799999999996
"2021-01-15","39",141389.49999999997
"2021-01-15","22",425422.18999999994
"2021-01-21","20",52440.02000000001
"2021-01-22","23",7484.58
"2021-01-22","29",134511.97999999995
"2021-01-22","24",400626.38000000006
"2021-01-28","8",26919.949999999997
"2021-01-29","39",131918.90999999997
"2021-01-29","24",406949.07000000007
"2021-02-05","19",52404.34
"2021-02-05","34",108710.85
"2021-02-05","24",347609.12999999995
"2021-02-11","19",55394.27
"2021-02-12","24",404638.7
"2021-02-12","32",131176.5
"2021-02-18","19",53110.04000000001
"2021-02-19","45",131839.28999999998
"2021-02-19","24",407673.31999999995
"2021-02-25","18",54468.799999999996
"2021-02-26","43",138582.24999999997
"2021-02-26","22",412199.56
"2021-03-04","20",55845.46999999999
"2021-03-05","35",138893.84000000003
"2021-03-05","23",412818.2
"2021-03-11","20",53134.549999999996
"2021-03-12","24",404588.74000000017
"2021-03-12","44",135154.3
"2021-03-19","18",56682.95999999999
"2021-03-19","39",142032.90000000002
"2021-03-19","23",422135.35
"2021-03-22","17",55429.079999999994
"2021-03-26","20",54674.52000000001
"2021-03-26","41",138561.91
"2021-03-26","24",393269.2199999999
"2021-04-01","20",53515.06999999999
"2021-04-01","49",51055.200000000004
"2021-04-01","24",297100.54000000004
"2021-04-09","26",139884.21000000002
"2021-04-09","24",413706.44000000006
"2021-04-13","16",52993.35999999999
"2021-04-14","24",4197.030000000001
"2021-04-16","24",117492.82
"2021-04-16","24",329938.3599999999
"2021-04-20","18",55339.5
"2021-04-22","15",2605754.09
"2021-04-23","24",419222.4599999999
"2021-04-23","16",55211.74
"2021-04-23","35",142764.19
"2021-04-30","20",54338.5
"2021-04-30","24",408114.0299999999
"2021-04-30","23",3206846.5399999996
"2021-04-30","35",596039.09
"2021-04-30","22",138558.12999999998
"2021-05-03","20",287937.25
"2021-05-03","16",228087.53
"2021-05-07","41",139116.92000000004
"2021-05-07","24",410571.13000000006
"2021-05-07","16",53959.130000000005
"2021-05-12","40",607681.35
"2021-05-12","32",53563.89000000001
"2021-05-14","19",52019.729999999996
"2021-05-19","36",50374.62000000002
"2021-05-19","36",624340.5199999999
"2021-05-19","22",3476552.7299999995
"2021-05-26","17",54893.31999999999
"2021-05-28","40",53748.80999999999
"2021-05-28","40",647414.9199999999
"2021-05-28","40",634707.9899999999
"2021-06-02","38",598915.5100000004
"2021-06-04","20",53946.52
"2021-06-04","36",54241.33999999999
"2021-06-07","5",11930.72
"2021-06-09","40",589788.0299999999
"2021-06-10","20",47560.07999999999
"2021-06-11","40",52190.67
"2021-06-14","9",4655.89
"2021-06-17","17",53023.3
"2021-06-18","34",44575.490000000005
"2021-06-18","39",416682.00000000006
"2021-06-21","17",48474.08
"2021-06-21","8",3500.5000000000005
"2021-06-24","19",34967.83
"2021-06-29","35",44628.23
"2021-06-30","39",574085.58
"2021-07-01","17",51772.43
"2021-07-05","15",54135.59
"2021-07-07","40",46636.82000000001
"2021-07-07","39",619830.47
"2021-07-09","20",52124.009999999995
"2021-07-15","16",48928.14
"2021-07-16","40",45481.61000000001
"2021-07-16","40",594916.64
